started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-12-01 12:23:07.780000+00:00,2024-12-01 12:36:58.465000+00:00,830,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275
2024-12-01 12:26:40.708000+00:00,2024-12-01 12:31:52.784000+00:00,312,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-12-01 12:26:45.110000+00:00,2024-12-01 12:30:11.912000+00:00,206,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935,812,Hans Hauges gate,Jens Rolfens gate 6,60.40190553013225,5.324747767839426
2024-12-01 12:33:06.045000+00:00,2024-12-01 12:38:37.421000+00:00,331,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 12:34:25.918000+00:00,2024-12-01 12:40:23.935000+00:00,358,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.37514055132067,5.338517421420761,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-12-01 12:41:53.320000+00:00,2024-12-01 12:49:54.543000+00:00,481,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-12-01 12:42:56.870000+00:00,2024-12-01 12:53:09.507000+00:00,612,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 12:43:15.965000+00:00,2024-12-01 12:50:27.591000+00:00,431,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504
2024-12-01 12:43:23.398000+00:00,2024-12-01 12:47:48.965000+00:00,265,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248,644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.37514055132067,5.338517421420761
2024-12-01 12:44:56.424000+00:00,2024-12-01 12:52:07.273000+00:00,430,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
